"state","state_abb","category","indicator","period","period_meaningful","rsp","rsp_lower","rsp_upper","national_standard","status","data_used","as_of_date","profile_version","source","indicator_sort","indicator_short","indicator_very_short","description","denominator_def","numerator_def","direction_rule","direction_desired","direction_legend","decimal_precision","scale","format","risk_adjustment","exclusions","notes"
"Kentucky","KY","Permanency","Permanency in 12 months for children entering care","20B21A","Apr '20 - Mar '21",0.447,0.433,0.462,35.2,"better","20B-22B",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Kentucky","KY","Permanency","Permanency in 12 months for children entering care","21A21B","Oct '20 - Sep '21",0.441,0.428,0.455,35.2,"better","21A-23A",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Kentucky","KY","Permanency","Permanency in 12 months for children entering care","21B22A","Apr '21 - Mar '22",0.429,0.415,0.442,35.2,"better","21B-23B",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Kentucky","KY","Permanency","Permanency in 12 months for children entering care","22A22B","Oct '21 - Sep '22",0.435,0.421,0.449,35.2,"better","22A-24A",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Kentucky","KY","Permanency","Permanency in 12 months for children entering care","22B23A","Apr '22 - Mar '23",0.449,0.435,0.463,35.2,"better","22B-24B",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Kentucky","KY","Permanency","Permanency in 12 months for children entering care","23A23B","Oct '22 - Sep '23",0.463,0.449,0.478,35.2,"better","23A-25A",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",4,"Perm in 12 months (entries)","Perm in 12 (entries)","Percent of children who enter foster care in a 12-month period who discharge to permanency within 12 months of entering care.","Number of children who enter foster care during a 12-month period.","Number of children in the denominator who discharge to permanency within 12 months of entering care.","gt","up","A higher value is more desirable.",1,100,"percent","State; age at entry; state's foster care entry rate","Children in foster care <8 days; children without a discharge reason; children who reenter in the same reporting period due to reporting structure not including discharge reason for the first episode.","Trial home visit (THV) adjustment: any THV time exceeding 30 days is discounted when the child discharges to reunification after a THV placement setting."
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 12-23 months","22A22B","Oct '21 - Sep '22",0.384,0.363,0.405,43.8,"worse","22A-22B",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 12-23 months","22B23A","Apr '22 - Mar '23",0.392,0.369,0.415,43.8,"worse","22B-23A",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 12-23 months","23A23B","Oct '22 - Sep '23",0.37,0.349,0.392,43.8,"worse","23A-23B",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
"Kentucky","KY","Permanency","Permanency in 12 months for children in care 12-23 months","23B24A","Apr '23 - Mar '24",0.373,0.352,0.395,43.8,"worse","23B-24A",2025-08-03,"August 2025","Children's Bureau. (2025, Aug). KY - CFSR 4 Data Profile - Aug 2025 [pdf file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",5,"Perm in 12 months (12-23 months)","Perm in 12 (12-23 mos)","Percent of children in foster care on the first day of a 12-month period who had been in care continuously for 12-23 months and who discharge to permanency within 12 months of the first day.","Number of children in foster care on the first day of the 12-month period who had been in care continuously for 12-23 months.","Number of children in the denominator who discharge to permanency within 12 months of the first day of the 12-month period.","gt","up","A higher value is more desirable.",1,100,"percent","State; age on first day","Children without a discharge reason; children who reenter foster care in the same reporting period due to reporting structure not including discharge reason for the first episode.",""
