"state","state_abb","category","indicator","dimension","dimension_value","period","period_meaningful","denominator","numerator","performance","state_rank","reporting_states","census_year","national_standard","as_of_date","profile_version","source","indicator_sort","indicator_short","indicator_very_short","description","denominator_def","numerator_def","direction_rule","direction_desired","direction_legend","decimal_precision","scale","format","risk_adjustment","exclusions","notes"
"Alabama","AL","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"20B21A","Apr '20 - Mar '21",1129676,3313,2.932699,29,52,2020,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alabama","AL","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"21B22A","Apr '21 - Mar '22",1128147,3419,3.030633,28,52,2021,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alabama","AL","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"22B23A","Apr '22 - Mar '23",1129696,3400,3.009659,29,52,2022,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alabama","AL","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"23B24A","Apr '23 - Mar '24",1133918,3419,3.015209,31,52,2023,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alabama","AL","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"24B25A","Apr '24 - Mar '25",1134857,3277,2.887588,31,52,2024,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alaska","AK","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"20B21A","Apr '20 - Mar '21",180249,1188,6.590883,50,52,2020,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alaska","AK","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"21B22A","Apr '21 - Mar '22",178830,1181,6.604037,50,52,2021,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alaska","AK","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"22B23A","Apr '22 - Mar '23",177354,988,5.570779,51,52,2022,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alaska","AK","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"23B24A","Apr '23 - Mar '24",175776,1034,5.882487,51,52,2023,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Alaska","AK","Permanency","Foster care entry rate (entries / 1,000 children)","State",,"24B25A","Apr '24 - Mar '25",174947,938,5.361624,50,52,2024,,2025-08-03,"August 2025","Children's Bureau. (2025, August). National - supplemental context data - August 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
