"state","state_abb","category","indicator","dimension","dimension_value","period","period_meaningful","denominator","numerator","performance","state_rank","reporting_states","census_year","national_standard","as_of_date","profile_version","source","indicator_sort","indicator_short","indicator_very_short","description","denominator_def","numerator_def","direction_rule","direction_desired","direction_legend","decimal_precision","scale","format","risk_adjustment","exclusions","notes"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Allegany","20A20B","Oct '19 - Sep '20",12088,36,2.97816,,,2020,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Allegany","21A21B","Oct '20 - Sep '21",12053,43,3.567577,,,2021,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Allegany","22A22B","Oct '21 - Sep '22",12005,33,2.748855,,,2022,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Allegany","23A23B","Oct '22 - Sep '23",12045,21,1.743462,,,2023,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Allegany","24A24B","Oct '23 - Sep '24",12045,15,1.24533,,,2024,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Anne Arundel","20A20B","Oct '19 - Sep '20",134515,53,0.394008,,,2020,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Anne Arundel","21A21B","Oct '20 - Sep '21",133902,40,0.298726,,,2021,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Anne Arundel","22A22B","Oct '21 - Sep '22",133869,49,0.366029,,,2022,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Anne Arundel","23A23B","Oct '22 - Sep '23",133550,43,0.321977,,,2023,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Anne Arundel","24A24B","Oct '23 - Sep '24",133550,65,0.486709,,,2024,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Baltimore County","20A20B","Oct '19 - Sep '20",188800,245,1.297669,,,2020,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Baltimore County","21A21B","Oct '20 - Sep '21",187097,203,1.084999,,,2021,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Baltimore County","22A22B","Oct '21 - Sep '22",184880,228,1.233232,,,2022,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Baltimore County","23A23B","Oct '22 - Sep '23",183157,188,1.026442,,,2023,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Baltimore County","24A24B","Oct '23 - Sep '24",183157,208,1.135638,,,2024,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Calvert","20A20B","Oct '19 - Sep '20",21622,10,0.462492,,,2020,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Calvert","21A21B","Oct '20 - Sep '21",21885,16,0.731094,,,2021,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Calvert","22A22B","Oct '21 - Sep '22",21838,10,0.457917,,,2022,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Calvert","23A23B","Oct '22 - Sep '23",21783,15,0.68861,,,2023,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Calvert","24A24B","Oct '23 - Sep '24",21783,10,0.459074,,,2024,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","20A20B","Oct '19 - Sep '20",7912,16,2.022245,,,2020,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","21A21B","Oct '20 - Sep '21",7925,4,0.504732,,,2021,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","22A22B","Oct '21 - Sep '22",7933,7,0.88239,,,2022,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","23A23B","Oct '22 - Sep '23",7975,11,1.37931,,,2023,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Caroline","24A24B","Oct '23 - Sep '24",7975,5,0.626959,,,2024,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","20A20B","Oct '19 - Sep '20",37951,16,0.421596,,,2020,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","21A21B","Oct '20 - Sep '21",38235,15,0.392311,,,2021,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","22A22B","Oct '21 - Sep '22",38725,16,0.41317,,,2022,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
"Maryland","MD","Permanency","Foster care entry rate (entries / 1,000 children)","Locality","Carroll","23A23B","Oct '22 - Sep '23",39177,21,0.536029,,,2023,,2024-12-17,"February 2025","Children's Bureau. (2025, February). National - supplemental context data - February 2025 [Data file]. U.S. Department of Health & Human Services, Administration for Children and Families, Administration on Children, Youth and Families.",3,"Foster care entry rate","Entry rate","Number of children who enter foster care per 1,000 children in the child population during a 12-month period.","Number of children in the child population (per census).","Number of children who enter foster care in a 12-month period.","lt","down","A lower value is more desirable. ",2,1000,"rate","None","None","None"
